artist,song,peakRank,weeksOnBoard,date
"""Groove"" Holmes",Misty,44,11,1966-09-03
"""Groove"" Holmes",What Now My Love,96,3,1966-10-15
"""Little"" Jimmy Dickens",May The Bird Of Paradise Fly Up Your Nose,15,10,1965-12-18
"""Pookie"" Hudson",I Know I Know,96,1,1963-05-25
"""Weird Al"" Yankovic",Amish Paradise,53,16,1996-07-13
"""Weird Al"" Yankovic",Canadian Idiot,82,3,2006-11-04
"""Weird Al"" Yankovic",Eat It,12,12,1984-05-26
"""Weird Al"" Yankovic",Fat,99,2,1988-05-28
"""Weird Al"" Yankovic",I Lost On Jeopardy,81,3,1984-07-14
"""Weird Al"" Yankovic",King Of Suede,62,6,1984-06-09
"""Weird Al"" Yankovic",Like A Surgeon,47,8,1985-08-10
"""Weird Al"" Yankovic",Ricky,63,8,1983-06-18
"""Weird Al"" Yankovic",Smells Like Nirvana,35,11,1992-07-04
"""Weird Al"" Yankovic",White & Nerdy,9,20,2007-02-24
"""Weird Al"" Yankovic",Word Crimes,39,2,2014-08-09
'N Sync,(God Must Have Spent) A Little More Time On You,8,22,1999-05-01
'N Sync,Bye Bye Bye,4,23,2000-07-01
'N Sync,Gone,11,24,2002-03-02
'N Sync,I Drive Myself Crazy,67,12,1999-07-10
'N Sync,I Want You Back,13,24,1998-08-15
'N Sync,It's Gonna Be Me,1,25,2000-10-21
'N Sync,Pop,19,15,2001-09-08
'N Sync,Tearin' Up My Heart,59,1,1998-12-05
'N Sync,This I Promise You,5,26,2001-03-24
'N Sync & Gloria Estefan,Music Of My Heart,2,20,2000-01-22
'N Sync Featuring Nelly,Girlfriend,5,20,2002-06-22
'Til Tuesday,(Believed You Were) Lucky,95,3,1989-02-04
'Til Tuesday,Coming Up Close,59,10,1987-03-14
'Til Tuesday,Looking Over My Shoulder,61,5,1985-09-21
'Til Tuesday,Voices Carry,8,21,1985-08-31
'Til Tuesday,What About Love,26,14,1986-12-20
(+44),When Your Heart Stops Beating,89,1,2006-12-02
(The Preacher) Bobby Womack,Woman's Gotta Have It,60,9,1972-07-01
1 Of The Girls,Do Da What,74,4,1993-07-17
10 Years,Wasteland,94,2,2006-04-08
"10,000 Maniacs",Because The Night,11,29,1994-05-21
"10,000 Maniacs",Candy Everybody Wants,67,10,1993-05-08
"10,000 Maniacs",Few And Far Between,95,1,1993-08-21
"10,000 Maniacs",Like The Weather,68,8,1988-06-25
"10,000 Maniacs",More Than This,25,18,1997-11-08
"10,000 Maniacs",These Are Days,66,11,1993-02-06
"10,000 Maniacs",Trouble Me,44,12,1989-09-02
"10,000 Maniacs",What's The Matter Here?,80,8,1988-10-22
100 Proof Aged in Soul,Everything Good Is Bad,45,11,1972-06-10
100 Proof Aged in Soul,One Man's Leftovers (Is Another Man's Feast),96,2,1971-03-06
100 Proof Aged in Soul,Somebody's Been Sleeping,8,14,1970-12-05
100 Proof Aged in Soul,Too Many Cooks (Spoil The Soup),94,2,1969-12-27
100 Strings and Jono (Choir of 40 Voices),I Need You Now,98,1,1960-03-28
10cc,Art For Art's Sake,83,6,1976-01-03
10cc,Dreadlock Holiday,44,10,1978-12-02
10cc,For You And I,85,3,1979-02-17
10cc,Good Morning Judge,69,8,1977-09-24
10cc,I'm Mandy Fly Me,60,4,1976-05-01
10cc,I'm Not In Love,2,17,1975-09-06
10cc,People In Love,40,7,1977-07-02
10cc,Rubber Bullets,73,8,1973-11-03
10cc,The Things We Do For Love,5,19,1977-05-14
112,Come See Me,33,20,1997-03-22
112,Cupid,13,28,1997-09-06
112,Dance With Me,39,20,2002-01-26
112,It's Over Now,6,20,2001-04-21
112,Peaches & Cream,4,29,2001-10-27
112 Featuring Foxy Brown,U Already Know,32,20,2005-07-16
112 Featuring Lil'z,Anywhere,15,25,1999-09-04
112 Featuring Ludacris,Hot & Wet,70,9,2003-12-13
112 Featuring Mase,Love Me,17,16,1999-02-06
112 Featuring Super Cat,Na Na Na,75,6,2003-09-13
112 Featuring The Notorious B.I.G.,Only You,13,28,1996-12-07
12 Gauge,Dunkie Butt (Please Please Please),28,21,1994-05-28
1910 Fruitgum Co.,"1, 2, 3, Red Light",5,13,1968-10-19
1910 Fruitgum Co.,Goody Goody Gumdrops,37,9,1968-12-21
1910 Fruitgum Co.,Indian Giver,5,13,1969-04-19
